_id,frame_number,jenis_kendaraan,deteksi,date,hari,timestamp
666a752c18ab3c9b75c94cb0,478,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cb1,478,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cb2,478,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cb3,478,car,1,2024-06-13,Thursday,2024-06-13 11:24:35
666a752c18ab3c9b75c94cb4,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cb5,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cb6,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cb7,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cb8,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cb9,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cba,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cbb,479,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cbc,480,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cbd,480,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cbe,480,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cbf,480,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cc0,480,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cc1,480,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cc2,480,car,1,2024-06-13,Thursday,2024-06-13 11:24:36
666a752c18ab3c9b75c94cc3,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94cc4,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94cc5,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94cc6,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94cc7,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94cc8,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94cc9,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94cca,481,car,1,2024-06-13,Thursday,2024-06-13 11:24:37
666a752c18ab3c9b75c94ccb,482,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94ccc,482,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94ccd,482,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cce,482,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94ccf,482,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd0,482,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd1,482,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd2,483,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd3,483,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd4,483,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd5,483,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd6,483,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd7,483,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd8,483,car,1,2024-06-13,Thursday,2024-06-13 11:24:38
666a752c18ab3c9b75c94cd9,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94cda,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94cdb,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94cdc,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94cdd,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94cde,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94cdf,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce0,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce1,484,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce2,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce3,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce4,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce5,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce6,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce7,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce8,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ce9,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94cea,485,car,1,2024-06-13,Thursday,2024-06-13 11:24:39
666a752c18ab3c9b75c94ceb,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cec,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94ced,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cee,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cef,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf0,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf1,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf2,486,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf3,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf4,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf5,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf6,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf7,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf8,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cf9,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cfa,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cfb,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cfc,487,car,1,2024-06-13,Thursday,2024-06-13 11:24:40
666a752c18ab3c9b75c94cfd,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94cfe,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94cff,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94d00,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94d01,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94d02,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94d03,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94d04,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94d05,488,car,1,2024-06-13,Thursday,2024-06-13 11:24:41
666a752c18ab3c9b75c94d06,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d07,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
666a752c18ab3c9b75c94d08,489,car,1,2024-06-13,Thursday,2024-06-13 11:24:42
